Date,Month,count
2016-05-20,5,6
2016-05-31,5,6
2016-06-18,6,3
2016-06-27,6,3
2016-02-03,2,2
2016-02-20,2,2
2016-04-20,4,3
2016-05-07,5,6
2016-05-14,5,6
2016-05-21,5,6
2016-05-22,5,6
2016-04-24,4,3
2016-04-28,4,3
2016-06-24,6,3
2016-07-21,7,3
2016-07-25,7,3
2016-07-28,7,3
2016-12-19,12,3
2016-12-20,12,3
2016-12-23,12,3
2016-11-04,11,6
2016-11-08,11,6
2016-11-12,11,6
2016-11-13,11,6
2016-11-14,11,6
2016-11-26,11,6
2017-01-01,1,1
2017-02-28,2,1
2017-03-23,3,1
2017-04-25,4,1
2017-05-21,5,2
2017-05-24,5,2
2017-08-08,8,1
2017-11-20,11,3
2017-11-22,11,3
2017-11-23,11,3
2017-12-11,12,1
2018-07-05,7,5
2018-07-06,7,5
2018-07-09,7,5
2018-07-19,7,5
2018-07-30,7,5
2018-08-13,8,3
2018-01-15,1,4
2018-01-16,1,4
2018-10-02,10,7
2018-10-05,10,7
2018-10-15,10,7
2018-10-16,10,7
2018-10-21,10,7
2018-01-24,1,4
2018-11-12,11,7
2018-11-13,11,7
2018-11-19,11,7
2018-11-20,11,7
2018-12-01,12,5
2018-12-07,12,5
2018-12-15,12,5
2018-12-21,12,5
2018-02-05,2,4
2018-02-14,2,4
2018-03-22,3,4
2018-03-24,3,4
2018-05-05,5,5
2018-05-06,5,5
2018-05-18,5,5
2018-05-24,5,5
2018-05-25,5,5
2018-06-08,6,2
2018-01-04,1,4
2018-08-11,8,3
2018-08-15,8,3
2018-10-25,10,7
2018-10-30,10,7
2018-11-23,11,7
2018-11-26,11,7
2018-11-28,11,7
2018-12-20,12,5
2018-02-11,2,4
2018-03-20,3,4
2018-04-01,4,2
2018-04-26,4,2
2018-06-14,6,2
2018-02-04,2,4
2018-03-07,3,4
